Description,Drawing No.,Qty,UOM,Unit,GEE ESS Engg.,Unnamed: 6
,,,,,Rate,Amount
Kattur Sugar unit,,,,,,
,,,,,,
"Cane Carrier Chain 6"" Pitch",KSC-03-004A,975.0,Feet,KKS,1730,1686750
Cane Carrier Slats ,KSC-03-005A,200.0,Nos.,KKS,1925,385000
Roller design Chain,KSC-05-022A,175.0,Feet,KKS,2000,350000
Inter Carrier Slats ,KSC-06-073,100.0,Nos.,KKS,880,88000
"Inter Carrier Chain 2.97"" pitch",KSC-06-074,100.0,Feet,KKS,1750,175000
Rake Carrier Chain 150 mm pitch,KSC-06-081,200.0,Feet,KKS,1830,366000
,,,,,,
Kattur Co-Gen unit,,,,,,
,,,,,,
Inter Chain Link Part No.1,KSC-971C,150.0,Nos.,KKC,158,23700
Bush Part No.5,KSC-971C,1500.0,Nos.,KKC,73,109500
Roller for RBC Chain,KSC-971C,150.0,Nos.,KKC,168,25200
Outer Chain Link 10 mm Thk. Part No.2,KSC-971C,720.0,Nos.,KKC,158,113760
Outer Chain Link with attachment P.No.3A,KSC-971C,360.0,Nos.,KKC,225,81000
Outer Chain Link without attachment P.No.3B,KSC-971C,360.0,Nos.,KKC,158,56880
Bagasse Carrier Pin Part No.7,KSC-971C,1400.0,Nos.,KKC,82,114800
Attachment Pin PT.No.8,KSC-971C,360.0,Nos.,KKC,42,15120
Swivel attachment Part No.4,KSC-971C,150.0,Nos.,KKC,195,29250
"Bagasse Carrier Chain with Swivel attachment as per Drawing No.KSC-971C Pitch 6"" assembled in 4 Ft. L",,400.0,Feet,KKC,1470,588000
(Return Bagasse Carrier Slat Drawing No.KSC-1149A),KSC-1149A,50.0,Nos.,KKC,1745,87250
,,,,,,
Sathamangalam Sugar unit,,,,,,
,,,,,,
Pin for Auxiliary Cane Carrier Chain,KSCL-MH-196,750.0,Nos.,KSS,157,117750
Bush for Auxiliary Cane Carrier Chain,KSCL-MH-196,750.0,Nos.,KSS,102,76500
Roller for Auxillary Cane Carrier Chain ,KSCL-MH-196,750.0,Nos.,KSS,265,198750
Auxiliary Cane Carrier Slat,KSCL-MH-030,10.0,Nos.,KSS,8600,86000
Pin for Cane Carrier Chain ,KSCL-MH-028/8,2750.0,Nos.,KSS,92,253000
Bush for Cane Carrier Chain ,KSCL-MH-028-B,2750.0,Nos.,KSS,76,209000
Roller for Cane Carrier Chain,KSCL-MH-028-B,2750.0,Nos.,KSS,170,467500
Inner Link for Cane Carrier Chain ,KSCL-MH-028-B,1400.0,Nos.,KSS,300,420000
Cane Carrier Slat ,KSCL-MH-071,300.0,Nos.,KSS,2100,630000
Inner Link 1 for Feeder Table,KSCL-MH-207,950.0,Nos.,KSS,182,172900
Inner 2 for Feeder Table Chain,KSCL-MH-207,950.0,Nos.,KSS,380,361000
Outer Link 1 Feeder table chain ,KSCL-MH-207,600.0,Nos.,KSS,182,109200
Outer Link 2 Feeder table Chain,KSCL-MH-207,600.0,Nos.,KSS,182,109200
Pin for Feeder Table Chain ,KSCL-MH-128,2000.0,Nos.,KSS,92,184000
Bush for Feeder table chain,KSCL-MH-128,2000.0,Nos.,KSS,76,152000
Roller for Feeder Table Chain,KSCL-MH-128,2000.0,Nos.,KSS,170,340000
Inter Rack Carrier Chain 229 mm pitch forged stlle,KSCL-MH-014-Rev-02,160.0,Mtrs.,KSS,6250,1000000
Inner Link for Bagasse Elevator Chain ,KSCL-MH-058,600.0,Nos.,KSS,190,114000
MH Bagasse Elevator Slat ,KSCL-MH-023,64.0,Nos.,KSS,3200,204800
,,,,,,
Sathamangalam Co-Gen unit,,,,,,
,,,,,,
Cotter Pin for Boiler Slat conveyor Chain,KSCL-BLR-206/A Rev. 02,350.0,Nos.,KSC,42,14700
Bush for Boiler Slat Conveyor Chain,KSCL-BLR-206/A Rev. 02,1100.0,Nos.,KSC,54,59400
Roller for Boiler Slat Conveyor Chain,KSCL-BLR-206/A Rev. 02,1100.0,Nos.,KSC,170,187000
Connection Pin for Boiler Slat Conveyor Chain,KSCL-BLR-206/A Rev. 02,1100.0,Nos.,KSC,70,77000
Inner Link for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,400.0,Nos.,KSC,190,76000
Outer Link No.01 for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,250.0,Nos.,KSC,190,47500
Outer Link No.02 for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,250.0,Nos.,KSC,190,47500
Outer Link No.03 for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,200.0,Nos.,KSC,260,52000
,,,,,,
,Sub Total,,,,,
,,,,,,
,Add: P & F charges,,,,Nil,0
,,,,,,
,Basic Total,,,,,
,,,,,,
,Add: 18% GST,,,,,
,,,,,,
,Net Total,,,,,
,,,,,,
,Freight,,,,KSCL Scope,
,,,,,,
,Payment,,,,50% advance & balance P.I,
,,,,,,
,Delivery,,,,10-12 weeks,
